"copy","name","src",""
"3枚","ゼラオラGX","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035194_P_ZERAORAGX.jpg",""
"1枚","カプ・テテフGX","https://www.pokemon-card.com/assets/images/card_images/large/SM2L/033438_P_KAPUTETEFUGX.jpg",""
"4枚","サンダー","https://www.pokemon-card.com/assets/images/card_images/large/SM8a/035402_P_SANDA.jpg",""
"2枚","シママ","https://www.pokemon-card.com/assets/images/card_images/large/SM8a/035406_P_SHIMAMA.jpg",""
"2枚","ゼブライカ","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035191_P_ZEBURAIKA.jpg",""
"1枚","カプ・コケコ プリズムスター","https://www.pokemon-card.com/assets/images/card_images/large/SM8a/035413_P_KAPUKOKEKO.jpg",""
"2枚","ライコウ","https://www.pokemon-card.com/assets/images/card_images/large/SM3p/034029_P_RAIKOU.jpg",""
"4枚","ハイパーボール","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035210_T_HAIPABORU.jpg",""
"2枚","レスキュータンカ","https://www.pokemon-card.com/assets/images/card_images/large/SMG/034630_T_RESUKYUTANKA.jpg",""
"2枚","こだわりハチマキ","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035215_T_KODAWARIHACHIMAKI.jpg",""
"2枚","ネストボール","https://www.pokemon-card.com/assets/images/card_images/large/SMH/035139_T_NESUTOBORU.jpg",""
"4枚","エレキパワー","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035207_T_EREKIPAWA.jpg",""
"1枚","フィールドブロアー","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035577_T_FIRUDOBUROA.jpg",""
"2枚","エレキチャージャー","https://www.pokemon-card.com/assets/images/card_images/large/SM8a/035445_T_EREKICHAJA.jpg",""
"4枚","シロナ","https://www.pokemon-card.com/assets/images/card_images/large/SMG/034634_T_SHIRONA.jpg",""
"3枚","グズマ","https://www.pokemon-card.com/assets/images/card_images/large/SMG/034633_T_GUZUMA.jpg",""
"3枚","デンジ","https://www.pokemon-card.com/assets/images/card_images/large/SMH/035149_T_DENJI.jpg",""
"4枚","リーリエ","https://www.pokemon-card.com/assets/images/card_images/large/SM8/035383_T_RIRIE.jpg",""
"1枚","サンダーマウンテン プリズムスター","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035219_T_SANDAMAUNTEN.jpg",""
"2枚","エーテルパラダイス保護区","https://www.pokemon-card.com/assets/images/card_images/large/SMF/034523_T_ETERUPARADAISUHOGOKU.jpg",""
"11枚","基本雷エネルギー","https://www.pokemon-card.com/assets/images/card_images/large/ENE/034669_E_KIHONKAMINARIENERUGI.jpg",""
