"copy","name","src",""
"2枚","ゼラオラGX","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035194_P_ZERAORAGX.jpg",""
"1枚","カプ・コケコ プリズムスター","https://www.pokemon-card.com/assets/images/card_images/large/SM8a/035413_P_KAPUKOKEKO.jpg",""
"3枚","レックウザGX","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035558_P_REKKUUZAGX.jpg",""
"2枚","ツボツボ","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035163_P_TSUBOTSUBO.jpg",""
"1枚","ヤレユータン","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035569_P_YAREYUTAN.jpg",""
"2枚","サンダー","https://www.pokemon-card.com/assets/images/card_images/large/SM8a/035402_P_SANDA.jpg",""
"1枚","カプ・テテフGX","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035504_P_KAPUTETEFUGX.jpg",""
"3枚","ハイパーボール","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035210_T_HAIPABORU.jpg",""
"1枚","レスキュータンカ","https://www.pokemon-card.com/assets/images/card_images/large/SMG/034630_T_RESUKYUTANKA.jpg",""
"1枚","こだわりハチマキ","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035215_T_KODAWARIHACHIMAKI.jpg",""
"2枚","ネストボール","https://www.pokemon-card.com/assets/images/card_images/large/SMH/035139_T_NESUTOBORU.jpg",""
"1枚","フィールドブロアー","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035577_T_FIRUDOBUROA.jpg",""
"3枚","ダートじてんしゃ","https://www.pokemon-card.com/assets/images/card_images/large/SM7/035003_T_DATOJITENSHA.jpg",""
"2枚","ねがいのバトン","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035585_T_NEGAINOBATON.jpg",""
"2枚","あなぬけのヒモ","https://www.pokemon-card.com/assets/images/card_images/large/SM4p/034317_T_ANANUKENOHIMO.jpg",""
"2枚","ミステリートレジャー","https://www.pokemon-card.com/assets/images/card_images/large/SM8b/035579_T_MISUTERITOREJA.jpg",""
"2枚","エネルギーつけかえ","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035206_T_ENERUGITSUKEKAE.jpg",""
"4枚","シロナ","https://www.pokemon-card.com/assets/images/card_images/large/SMG/034634_T_SHIRONA.jpg",""
"3枚","グズマ","https://www.pokemon-card.com/assets/images/card_images/large/SMG/034633_T_GUZUMA.jpg",""
"2枚","デンジ","https://www.pokemon-card.com/assets/images/card_images/large/SMH/035149_T_DENJI.jpg",""
"2枚","リーリエ","https://www.pokemon-card.com/assets/images/card_images/large/SM8/035383_T_RIRIE.jpg",""
"1枚","かんこうきゃく","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035217_T_KANKOUKYAKU.jpg",""
"1枚","ジャッジマン","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035218_T_JAJJIMAN.jpg",""
"1枚","サンダーマウンテン プリズムスター","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035219_T_SANDAMAUNTEN.jpg",""
"1枚","ポータウン","https://www.pokemon-card.com/assets/images/card_images/large/SM3N/033965_T_POTAUN.jpg",""
"10枚","基本雷エネルギー","https://www.pokemon-card.com/assets/images/card_images/large/ENE/034669_E_KIHONKAMINARIENERUGI.jpg",""
"4枚","基本草エネルギー","https://www.pokemon-card.com/assets/images/card_images/large/ENE/034666_E_KIHONKUSAENERUGI.jpg",""
