"copy","name","src",""
"3枚","マグカルゴGX","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035173_P_MAGUKARUGOGX.jpg",""
"2枚","マグカルゴ","https://www.pokemon-card.com/assets/images/card_images/large/SM6b/034865_P_MAGUKARUGO.jpg",""
"4枚","マグマッグ","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035172_P_MAGUMAGGU.jpg",""
"1枚","カプ・テテフGX","https://www.pokemon-card.com/assets/images/card_images/large/SM4p/034273_P_KAPUTETEFUGX.jpg",""
"1枚","ビクティニ プリズムスター","https://www.pokemon-card.com/assets/images/card_images/large/SM6a/034796_P_BIKUTEINI.jpg",""
"1枚","メタモン プリズムスター","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035204_P_METAMON.jpg",""
"2枚","ヤレユータン","https://www.pokemon-card.com/assets/images/card_images/large/SM1M/033116_P_YAREYUTAN.jpg",""
"2枚","ラプラス","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035178_P_RAPURASU.jpg",""
"4枚","ハイパーボール","https://www.pokemon-card.com/assets/images/card_images/large/SMH/035140_T_HAIPABORU.jpg",""
"2枚","こだわりハチマキ","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035215_T_KODAWARIHACHIMAKI.jpg",""
"2枚","ポケモンいれかえ","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035211_T_POKEMONIREKAE.jpg",""
"2枚","レスキュータンカ","https://www.pokemon-card.com/assets/images/card_images/large/SMG/034630_T_RESUKYUTANKA.jpg",""
"2枚","エネルギー循環装置","https://www.pokemon-card.com/assets/images/card_images/large/SM6b/034907_T_ENERUGIJUNKANSOUCHI.jpg",""
"1枚","フィールドブロアー","https://www.pokemon-card.com/assets/images/card_images/large/SMG/034628_T_FIRUDOBUROA.jpg",""
"2枚","ネストボール","https://www.pokemon-card.com/assets/images/card_images/large/SMH/035139_T_NESUTOBORU.jpg",""
"4枚","シロナ","https://www.pokemon-card.com/assets/images/card_images/large/SMF/034521_T_SHIRONA.jpg",""
"3枚","グズマ","https://www.pokemon-card.com/assets/images/card_images/large/SMG/034633_T_GUZUMA.jpg",""
"2枚","ジャッジマン","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035218_T_JAJJIMAN.jpg",""
"1枚","カキ","https://www.pokemon-card.com/assets/images/card_images/large/SMH/035145_T_KAKI.jpg",""
"2枚","マオ","https://www.pokemon-card.com/assets/images/card_images/large/SM4p/034335_T_MAO.jpg",""
"2枚","リーリエ","https://www.pokemon-card.com/assets/images/card_images/large/SM8/035383_T_RIRIE.jpg",""
"1枚","ヒートファクトリー プリズムスター","https://www.pokemon-card.com/assets/images/card_images/large/SM8/035385_T_HITOFAKUTORI.jpg",""
"1枚","そらのはしら","https://www.pokemon-card.com/assets/images/card_images/large/SM7/035018_T_SORANOHASHIRA.jpg",""
"13枚","基本炎エネルギー","https://www.pokemon-card.com/assets/images/card_images/large/ENE/034667_E_KIHONHONOOENERUGI.jpg",""
