"copy","name","src",""
"2枚","ギラティナ","https://www.pokemon-card.com/assets/images/card_images/large/SM7b/035254_P_GIRATEINA.jpg",""
"1枚","カプ・テテフGX","https://www.pokemon-card.com/assets/images/card_images/large/SM4p/034273_P_KAPUTETEFUGX.jpg",""
"1枚","イワーク","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035195_P_IWAKU.jpg",""
"1枚","ルナアーラ プリズムスター","https://www.pokemon-card.com/assets/images/card_images/large/SM5M/034480_P_RUNAARA.jpg",""
"2枚","カプ・コケコ","https://www.pokemon-card.com/assets/images/card_images/large/SMP/033412_P_KAPUKOKEKO.jpg",""
"1枚","ネクロズマGX","https://www.pokemon-card.com/assets/images/card_images/large/SM4p/034278_P_NEKUROZUMAGX.jpg",""
"1枚","ひかるアルセウス","https://www.pokemon-card.com/assets/images/card_images/large/SM3p/034055_P_HIKARUARUSEUSU.jpg",""
"4枚","カラマネロ","https://www.pokemon-card.com/assets/images/card_images/large/SM6/034711_P_KARAMANERO.jpg",""
"4枚","マーイーカ","https://www.pokemon-card.com/assets/images/card_images/large/SM6/034710_P_MAIKA.jpg",""
"4枚","ミステリートレジャー","https://www.pokemon-card.com/assets/images/card_images/large/SM6/034757_T_MISUTERITOREJA.jpg",""
"2枚","レスキュータンカ","https://www.pokemon-card.com/assets/images/card_images/large/SMG/034630_T_RESUKYUTANKA.jpg",""
"2枚","ハイパーボール","https://www.pokemon-card.com/assets/images/card_images/large/SM8/035370_T_HAIPABORU.jpg",""
"3枚","ネストボール","https://www.pokemon-card.com/assets/images/card_images/large/SMH/035139_T_NESUTOBORU.jpg",""
"4枚","のろいのおふだ","https://www.pokemon-card.com/assets/images/card_images/large/SM7b/035281_T_NOROINOOFUDA.jpg",""
"3枚","グズマ","https://www.pokemon-card.com/assets/images/card_images/large/SMG/034633_T_GUZUMA.jpg",""
"4枚","シロナ","https://www.pokemon-card.com/assets/images/card_images/large/SMF/034521_T_SHIRONA.jpg",""
"3枚","リーリエ","https://www.pokemon-card.com/assets/images/card_images/large/SM7/035015_T_RIRIE.jpg",""
"2枚","TVレポーター","https://www.pokemon-card.com/assets/images/card_images/large/SM6b/034917_T_TVREPOTA.jpg",""
"2枚","フウとラン","https://www.pokemon-card.com/assets/images/card_images/large/SM7/035014_T_FUUTORAN.jpg",""
"1枚","ジャッジマン","https://www.pokemon-card.com/assets/images/card_images/large/SM7a/035218_T_JAJJIMAN.jpg",""
"1枚","戒めの祠","https://www.pokemon-card.com/assets/images/card_images/large/SM7/035017_T_IMASHIMENOSHI.jpg",""
"10枚","基本超エネルギー","https://www.pokemon-card.com/assets/images/card_images/large/ENE/034670_E_KIHONCHOUENERUGI.jpg",""
"2枚","ダブル無色エネルギー","https://www.pokemon-card.com/assets/images/card_images/large/SM8/035386_E_DABURUMUSHOKUENERUGI.jpg",""
